Englisch;German
yesterday;Gestern
throw;werfen
picture;Bild
land;Land
feet;Füße
wonder;Wunder
questions;Fragen
speaking;sprechend
worth;Wert
darling;Schatz
dude;Kerl
giving;gebend
president;Präsident
eye;Auge
quick;schnell
moving;verschieben
figure;Abbildung
state;Zustand
strong;Stark
sam;Sam
none;nichts
amazing;verblüffend
ones;einsen
works;Werk
act;handeln
needed;benötigt
weird;seltsam
law;Gesetz
worried;besorgt
report;Bericht
goodbye;Auf Wiedersehen
missing;Fehlend
choice;Wahl
happening;Ereignis
chief;Chef
wedding;Hochzeit
strange;seltsam
general;Allgemein
pain;Schmerz
'am;"""Am"
kidding;scherzend
decided;beschlossen
ya;Ya
pass;bestehen
tired;müde
class;Klasse
officer;Offizier
kept;gehalten
wake;aufwachen
worse;schlimmer
busy;beschäftigt
eh;gell
mistake;Fehler
kiss;küssen
court;Gericht
building;Gebäude
finish;beenden
during;während
age;Alter
ship;Schiff
caught;gefangen
marry;heiraten
meant;gemeint
sell;verkaufen
dark;dunkel
watching;beobachtend
system;System
suppose;annehmen
evidence;Beweis
movie;Film
ride;reiten
completely;Vollkommen
mouth;Mund
totally;vollständig
birthday;Geburtstag
forgive;verzeihen
born;geboren
imagine;sich vorstellen
information;Information
instead;stattdessen
definitely;bestimmt
security;Sicherheit
certainly;sicherlich
film;Film
month;Monat
lying;liegend
unless;es sei denn
train;Zug
seven;Sieben
wear;tragen
clothes;Kleider
michael;Michael
hotel;Hotel
christmas;Weihnachten
attack;angreifen
hasn;hat
round;rund
expect;erwarten
sing;singen
terrible;schrecklich
george;Georg
bag;Tasche
history;Geschichte
blue;blau
near;nahe
broke;zerbrochen
station;Station
seriously;ernst
forever;ewig
david;David
frank;freimütig
except;außer
thinks;denkt
message;Nachricht
entire;ganz
joe;Joe
table;Tisch
talked;redete
across;über
rock;Fels
lovely;bezaubernd
handle;Griff
middle;Mitte
buddy;Kumpel
paid;bezahlt
protect;schützen
using;benutzend
floor;Boden
ran;liefen
swear;schwören
spend;ausgeben
situation;Situation
ring;Ring
anywhere;irgendwohin
dangerous;gefährlich
bill;Rechnung
york;York
army;Armee
lead;Blei
bought;gekauft
finished;fertig
fair;gerecht
sun;Sonne
letter;Brief
fool;Narr
attention;Aufmerksamkeit
club;Keule
simple;Einfach
interesting;interessant
space;Raum
test;Test
box;Schachtel
group;Gruppe
single;ledig
sitting;sitzend
marriage;Heirat
join;verbinden
fear;Furcht
peace;Friede
forgot;vergaß
force;Kraft
short;kurz
normal;normal
charlie;Charlie
present;Gegenwart
enjoy;genießen
mike;Mikrofon
crime;Verbrechen
horse;Pferd
ground;Boden
american;Amerikaner
count;zählen
area;Fläche
charge;berechnen
honor;Ehre
lunch;Mittagessen
miles;Meilen
radio;Radio
idiot;Idiot
ball;Ball
surprise;überraschen
paper;Papier
key;Schlüssel
boat;Boot
quickly;schnell
gold;Gold
bar;Stab
fish;Fisch
mark;markieren
tom;Tom
wearing;tragend
crying;Weinen
accident;Unfall
government;Regierung
eight;Acht
fell;fällen
cover;Deckel
certain;Bestimmt
interested;interessiert
deep;tief
star;Stern
sea;Meer
agree;zustimmen
problems;Probleme
detective;Detektiv
prison;Gefängnis
major;Haupt
stick;Stock
offer;Angebot
difficult;schwierig
smart;schlau
personal;persönlich
record;Aufzeichnung
stopped;angehalten
hide;verstecken
whether;ob
bank;Bank
trip;stolpern
relax;entspannen
america;Amerika
public;Öffentlich
list;Liste
afternoon;Nachmittag
brain;Gehirn
fix;Lösung
bastard;Bastard
proud;stolz
tea;Tee
service;Dienst
screaming;schreiend
forward;vorwärts
angry;wütend
park;Park
soul;Seele
fighting;kämpfend
peter;Petrus
rich;reich
agent;Agent
blow;blasen
paul;Paul
dress;Kleid
mary;heiraten
missed;vermisste
scene;Szene
killing;Tötung
standing;stehend
saved;gespeichert
respect;Respekt
killer;Mörder
ice;Eis
mess;Durcheinander
tough;hart
feels;empfindet
church;Kirche
sad;traurig
cell;Zelle
drunk;betrunken
share;Freigeben
camera;Kamera
mm-hmm;mm-hmm
within;innerhalb
card;Karte
fly;fliegen
ben;Ben
girlfriend;Freundin
laugh;lachen
smell;Geruch
broken;kaputt
mum;Mama
honest;ehrlich
often;oft
starting;Anlassen
calls;Anrufe
spent;aufgewendet
third;Dritte
english;Englisch
visit;Besuch
mama;Mamma
judge;Richter
window;Fenster
hungry;hungrig
dare;wagen
relationship;Beziehung
moved;bewegt
prove;beweisen
private;privat
wall;Wand
seat;Sitz
position;Position
lieutenant;Leutnant
realize;verwirklichen
especially;besonders
machine;Maschine
walking;gehen
art;Kunst
pleasure;Vergnügen
